id,text,activity_label,quantity,unit
1,I flew 3 km today.,Flight,3,km
2,I ate a vegetarian meal.,Vegetarian Meal,1,meal
3,I watched TV for 1 hours.,Electricity,1,hour
4,I used my computer for 3 hours.,Electricity,3,hour
5,I went for a 784 km walk.,Walking,784,km
6,I took a flight covering 502 km.,Flight,502,km
7,I had a veg lunch today.,Vegetarian Meal,1,meal
8,I rode my bike for 639 km.,Bike,639,km
9,I travelled 472 km by bus.,Bus,472,km
10,I cycled 958 km today.,Bike,958,km
11,I ate chicken for lunch.,Chicken Meal,1,meal
12,I had a chicken meal today.,Chicken Meal,1,meal
13,I travelled 795 km by train.,Train,795,km
14,I used my car for 405 km today.,Car,405,km
15,I went for a 901 km walk.,Walking,901,km
16,I used my computer for 11 hours.,Electricity,11,hour
17,I ate chicken for lunch.,Chicken Meal,1,meal
18,I took a flight covering 830 km.,Flight,830,km
19,I travelled 599 km by train.,Train,599,km
20,I rode my bike for 822 km.,Bike,822,km
21,I cycled 913 km today.,Bike,913,km
22,I travelled 136 km by train.,Train,136,km
23,I travelled 914 km by car.,Car,914,km
24,I flew 688 km today.,Flight,688,km
25,I used the air conditioner for 7 hours.,Electricity,7,hour
26,I ate chicken for lunch.,Chicken Meal,1,meal
27,I watched TV for 5 hours.,Electricity,5,hour
28,I ate chicken for lunch.,Chicken Meal,1,meal
29,I took a train for 68 km today.,Train,68,km
30,I had a chicken meal today.,Chicken Meal,1,meal
31,I rode my bike for 129 km.,Bike,129,km
32,I travelled 998 km by train.,Train,998,km
33,I travelled 205 km by bus.,Bus,205,km
34,I flew 841 km today.,Flight,841,km
35,I used my car for 228 km today.,Car,228,km
36,I walked 334 km today.,Walking,334,km
37,I commuted 959 km using the bus.,Bus,959,km
38,I took a train for 531 km today.,Train,531,km
39,I watched TV for 10 hours.,Electricity,10,hour
40,I took a train for 96 km today.,Train,96,km
41,I watched TV for 8 hours.,Electricity,8,hour
42,I ate a vegetarian meal.,Vegetarian Meal,1,meal
43,I took a flight covering 355 km.,Flight,355,km
44,I took a train for 635 km today.,Train,635,km
45,I had a chicken meal today.,Chicken Meal,1,meal
46,I ate a vegetarian meal.,Vegetarian Meal,1,meal
47,I took a train for 340 km today.,Train,340,km
48,I used my computer for 5 hours.,Electricity,5,hour
49,I went for a 93 km walk.,Walking,93,km
50,I cycled 691 km today.,Bike,691,km
51,I travelled 607 km by train.,Train,607,km
52,I used the air conditioner for 10 hours.,Electricity,10,hour
53,I took a bus for 759 km.,Bus,759,km
54,I travelled 380 km by train.,Train,380,km
55,I ate a vegetarian meal.,Vegetarian Meal,1,meal
56,I walked 888 km today.,Walking,888,km
57,I flew 796 km today.,Flight,796,km
58,I took a train for 830 km today.,Train,830,km
59,I went for a 981 km walk.,Walking,981,km
60,I travelled 10 km by car.,Car,10,km
61,I ate a vegetarian meal.,Vegetarian Meal,1,meal
62,I ate a vegetarian meal.,Vegetarian Meal,1,meal
63,I took a train for 707 km today.,Train,707,km
64,I used the air conditioner for 6 hours.,Electricity,6,hour
65,I travelled 467 km by train.,Train,467,km
66,I cycled 223 km today.,Bike,223,km
67,I took a bus for 905 km.,Bus,905,km
68,I flew 329 km today.,Flight,329,km
69,I took a bus for 427 km.,Bus,427,km
70,I walked 986 km today.,Walking,986,km
71,I took a flight covering 275 km.,Flight,275,km
72,I flew 757 km today.,Flight,757,km
73,I commuted 874 km using the bus.,Bus,874,km
74,I took a flight covering 497 km.,Flight,497,km
75,I travelled 561 km by car.,Car,561,km
76,I took a flight covering 152 km.,Flight,152,km
77,I took a train for 327 km today.,Train,327,km
78,I travelled 887 km by car.,Car,887,km
79,I commuted 316 km using the bus.,Bus,316,km
80,I had a chicken meal today.,Chicken Meal,1,meal
81,I took a bus for 44 km.,Bus,44,km
82,I had a veg lunch today.,Vegetarian Meal,1,meal
83,I took a bus for 180 km.,Bus,180,km
84,I went for a 459 km walk.,Walking,459,km
85,I ate chicken for lunch.,Chicken Meal,1,meal
86,I ate a vegetarian meal.,Vegetarian Meal,1,meal
87,I watched TV for 4 hours.,Electricity,4,hour
88,I used my car for 732 km today.,Car,732,km
89,I travelled 70 km by car.,Car,70,km
90,I flew 40 km today.,Flight,40,km
91,I took a train for 259 km today.,Train,259,km
92,I travelled 658 km by bus.,Bus,658,km
93,I had a chicken meal today.,Chicken Meal,1,meal
94,I used my car for 144 km today.,Car,144,km
95,I rode my bike for 63 km.,Bike,63,km
96,I cycled 180 km today.,Bike,180,km
97,I had a veg lunch today.,Vegetarian Meal,1,meal
98,I took a flight covering 819 km.,Flight,819,km
99,I went for a 866 km walk.,Walking,866,km
100,I ate chicken for lunch.,Chicken Meal,1,meal
101,I walked 624 km today.,Walking,624,km
102,I travelled 310 km by bus.,Bus,310,km
103,I travelled 355 km by train.,Train,355,km
104,I ate chicken for lunch.,Chicken Meal,1,meal
105,I walked 923 km today.,Walking,923,km
106,I used the air conditioner for 12 hours.,Electricity,12,hour
107,I used the air conditioner for 3 hours.,Electricity,3,hour
108,I drove my car 930 km to the office.,Car,930,km
109,I rode my bike for 258 km.,Bike,258,km
110,I walked 27 km today.,Walking,27,km
111,I cycled 126 km today.,Bike,126,km
112,I rode my bike for 312 km.,Bike,312,km
113,I took a flight covering 289 km.,Flight,289,km
114,I walked 808 km today.,Walking,808,km
115,I used the air conditioner for 12 hours.,Electricity,12,hour
116,I commuted 379 km using the bus.,Bus,379,km
117,I took a bus for 489 km.,Bus,489,km
118,I rode my bike for 254 km.,Bike,254,km
119,I ate a vegetarian meal.,Vegetarian Meal,1,meal
120,I used my car for 679 km today.,Car,679,km
121,I ate chicken for lunch.,Chicken Meal,1,meal
122,I rode my bike for 698 km.,Bike,698,km
123,I used my computer for 4 hours.,Electricity,4,hour
124,I used my computer for 4 hours.,Electricity,4,hour
125,I ate chicken for lunch.,Chicken Meal,1,meal
126,I travelled 831 km by train.,Train,831,km
127,I walked 335 km today.,Walking,335,km
128,I used my computer for 2 hours.,Electricity,2,hour
129,I had a veg lunch today.,Vegetarian Meal,1,meal
130,I rode my bike for 823 km.,Bike,823,km
131,I travelled 773 km by train.,Train,773,km
132,I ate a vegetarian meal.,Vegetarian Meal,1,meal
133,I flew 583 km today.,Flight,583,km
134,I flew 758 km today.,Flight,758,km
135,I ate chicken for lunch.,Chicken Meal,1,meal
136,I had a chicken meal today.,Chicken Meal,1,meal
137,I drove my car 441 km to the office.,Car,441,km
138,I travelled 17 km by bus.,Bus,17,km
139,I ate chicken for lunch.,Chicken Meal,1,meal
140,I ate a vegetarian meal.,Vegetarian Meal,1,meal
141,I rode my bike for 457 km.,Bike,457,km
142,I took a train for 616 km today.,Train,616,km
143,I commuted 200 km using the bus.,Bus,200,km
144,I flew 59 km today.,Flight,59,km
145,I flew 983 km today.,Flight,983,km
146,I flew 214 km today.,Flight,214,km
147,I travelled 426 km by train.,Train,426,km
148,I walked 94 km today.,Walking,94,km
149,I travelled 127 km by train.,Train,127,km
150,I ate chicken for lunch.,Chicken Meal,1,meal
151,I took a flight covering 304 km.,Flight,304,km
152,I travelled 607 km by train.,Train,607,km
153,I took a bus for 320 km.,Bus,320,km
154,I watched TV for 11 hours.,Electricity,11,hour
155,I had a chicken meal today.,Chicken Meal,1,meal
156,I ate a vegetarian meal.,Vegetarian Meal,1,meal
157,I travelled 243 km by bus.,Bus,243,km
158,I watched TV for 2 hours.,Electricity,2,hour
159,I walked 166 km today.,Walking,166,km
160,I went for a 126 km walk.,Walking,126,km
161,I travelled 910 km by train.,Train,910,km
162,I ate a vegetarian meal.,Vegetarian Meal,1,meal
163,I ate a vegetarian meal.,Vegetarian Meal,1,meal
164,I cycled 273 km today.,Bike,273,km
165,I travelled 318 km by train.,Train,318,km
166,I used my computer for 8 hours.,Electricity,8,hour
167,I cycled 725 km today.,Bike,725,km
168,I drove my car 188 km to the office.,Car,188,km
169,I watched TV for 8 hours.,Electricity,8,hour
170,I used the air conditioner for 12 hours.,Electricity,12,hour
171,I ate a vegetarian meal.,Vegetarian Meal,1,meal
172,I flew 895 km today.,Flight,895,km
173,I travelled 487 km by car.,Car,487,km
174,I had a veg lunch today.,Vegetarian Meal,1,meal
175,I rode my bike for 197 km.,Bike,197,km
176,I had a veg lunch today.,Vegetarian Meal,1,meal
177,I used the air conditioner for 12 hours.,Electricity,12,hour
178,I travelled 227 km by bus.,Bus,227,km
179,I commuted 752 km using the bus.,Bus,752,km
180,I walked 674 km today.,Walking,674,km
181,I used the air conditioner for 9 hours.,Electricity,9,hour
182,I cycled 164 km today.,Bike,164,km
183,I travelled 85 km by car.,Car,85,km
184,I had a veg lunch today.,Vegetarian Meal,1,meal
185,I ate chicken for lunch.,Chicken Meal,1,meal
186,I flew 119 km today.,Flight,119,km
187,I took a train for 814 km today.,Train,814,km
188,I had a chicken meal today.,Chicken Meal,1,meal
189,I went for a 59 km walk.,Walking,59,km
190,I ate chicken for lunch.,Chicken Meal,1,meal
191,I flew 8 km today.,Flight,8,km
192,I rode my bike for 794 km.,Bike,794,km
193,I took a train for 209 km today.,Train,209,km
194,I commuted 916 km using the bus.,Bus,916,km
195,I rode my bike for 64 km.,Bike,64,km
196,I took a train for 585 km today.,Train,585,km
197,I had a chicken meal today.,Chicken Meal,1,meal
198,I went for a 861 km walk.,Walking,861,km
199,I walked 661 km today.,Walking,661,km
200,I took a flight covering 520 km.,Flight,520,km
201,I took a flight covering 433 km.,Flight,433,km
202,I had a chicken meal today.,Chicken Meal,1,meal
203,I travelled 730 km by train.,Train,730,km
204,I ate chicken for lunch.,Chicken Meal,1,meal
205,I used the air conditioner for 9 hours.,Electricity,9,hour
206,I ate chicken for lunch.,Chicken Meal,1,meal
207,I travelled 240 km by car.,Car,240,km
208,I ate chicken for lunch.,Chicken Meal,1,meal
209,I flew 742 km today.,Flight,742,km
210,I ate chicken for lunch.,Chicken Meal,1,meal
211,I used the air conditioner for 3 hours.,Electricity,3,hour
212,I flew 429 km today.,Flight,429,km
213,I used my computer for 10 hours.,Electricity,10,hour
214,I took a bus for 778 km.,Bus,778,km
215,I had a veg lunch today.,Vegetarian Meal,1,meal
216,I cycled 812 km today.,Bike,812,km
217,I took a flight covering 280 km.,Flight,280,km
218,I had a chicken meal today.,Chicken Meal,1,meal
219,I cycled 492 km today.,Bike,492,km
220,I went for a 456 km walk.,Walking,456,km
221,I rode my bike for 47 km.,Bike,47,km
222,I travelled 483 km by bus.,Bus,483,km
223,I used the air conditioner for 3 hours.,Electricity,3,hour
224,I cycled 37 km today.,Bike,37,km
225,I cycled 51 km today.,Bike,51,km
226,I rode my bike for 739 km.,Bike,739,km
227,I took a bus for 181 km.,Bus,181,km
228,I had a chicken meal today.,Chicken Meal,1,meal
229,I walked 27 km today.,Walking,27,km
230,I travelled 822 km by train.,Train,822,km
231,I had a chicken meal today.,Chicken Meal,1,meal
232,I ate chicken for lunch.,Chicken Meal,1,meal
233,I commuted 856 km using the bus.,Bus,856,km
234,I took a bus for 749 km.,Bus,749,km
235,I took a train for 875 km today.,Train,875,km
236,I had a chicken meal today.,Chicken Meal,1,meal
237,I travelled 245 km by train.,Train,245,km
238,I commuted 839 km using the bus.,Bus,839,km
239,I took a train for 173 km today.,Train,173,km
240,I cycled 2 km today.,Bike,2,km
241,I travelled 744 km by train.,Train,744,km
242,I travelled 776 km by car.,Car,776,km
243,I travelled 137 km by bus.,Bus,137,km
244,I drove my car 47 km to the office.,Car,47,km
245,I had a veg lunch today.,Vegetarian Meal,1,meal
246,I travelled 905 km by train.,Train,905,km
247,I had a veg lunch today.,Vegetarian Meal,1,meal
248,I had a chicken meal today.,Chicken Meal,1,meal
249,I used the air conditioner for 1 hours.,Electricity,1,hour
250,I watched TV for 5 hours.,Electricity,5,hour
251,I used the air conditioner for 4 hours.,Electricity,4,hour
252,I commuted 907 km using the bus.,Bus,907,km
253,I used my car for 314 km today.,Car,314,km
254,I had a chicken meal today.,Chicken Meal,1,meal
255,I had a chicken meal today.,Chicken Meal,1,meal
256,I took a bus for 165 km.,Bus,165,km
257,I flew 370 km today.,Flight,370,km
258,I travelled 526 km by car.,Car,526,km
259,I travelled 225 km by car.,Car,225,km
260,I had a veg lunch today.,Vegetarian Meal,1,meal
261,I had a veg lunch today.,Vegetarian Meal,1,meal
262,I travelled 601 km by train.,Train,601,km
263,I travelled 69 km by train.,Train,69,km
264,I had a veg lunch today.,Vegetarian Meal,1,meal
265,I had a chicken meal today.,Chicken Meal,1,meal
266,I took a train for 978 km today.,Train,978,km
267,I travelled 542 km by train.,Train,542,km
268,I had a veg lunch today.,Vegetarian Meal,1,meal
269,I ate chicken for lunch.,Chicken Meal,1,meal
270,I took a flight covering 714 km.,Flight,714,km
271,I travelled 469 km by train.,Train,469,km
272,I took a flight covering 941 km.,Flight,941,km
273,I took a flight covering 588 km.,Flight,588,km
274,I rode my bike for 274 km.,Bike,274,km
275,I ate chicken for lunch.,Chicken Meal,1,meal
276,I used my computer for 7 hours.,Electricity,7,hour
277,I travelled 168 km by car.,Car,168,km
278,I took a bus for 316 km.,Bus,316,km
279,I watched TV for 12 hours.,Electricity,12,hour
280,I used my computer for 8 hours.,Electricity,8,hour
281,I walked 174 km today.,Walking,174,km
282,I went for a 273 km walk.,Walking,273,km
283,I went for a 259 km walk.,Walking,259,km
284,I travelled 467 km by bus.,Bus,467,km
285,I ate chicken for lunch.,Chicken Meal,1,meal
286,I rode my bike for 598 km.,Bike,598,km
287,I travelled 959 km by bus.,Bus,959,km
288,I took a flight covering 438 km.,Flight,438,km
289,I flew 288 km today.,Flight,288,km
290,I drove my car 397 km to the office.,Car,397,km
291,I walked 681 km today.,Walking,681,km
292,I went for a 892 km walk.,Walking,892,km
293,I ate a vegetarian meal.,Vegetarian Meal,1,meal
294,I used the air conditioner for 11 hours.,Electricity,11,hour
295,I took a bus for 186 km.,Bus,186,km
296,I had a chicken meal today.,Chicken Meal,1,meal
297,I flew 343 km today.,Flight,343,km
298,I commuted 400 km using the bus.,Bus,400,km
299,I ate chicken for lunch.,Chicken Meal,1,meal
300,I commuted 409 km using the bus.,Bus,409,km
301,I ate a vegetarian meal.,Vegetarian Meal,1,meal
302,I commuted 136 km using the bus.,Bus,136,km
303,I ate chicken for lunch.,Chicken Meal,1,meal
304,I used my car for 727 km today.,Car,727,km
305,I had a chicken meal today.,Chicken Meal,1,meal
306,I used my computer for 1 hours.,Electricity,1,hour
307,I commuted 724 km using the bus.,Bus,724,km
308,I travelled 754 km by bus.,Bus,754,km
309,I ate chicken for lunch.,Chicken Meal,1,meal
310,I cycled 628 km today.,Bike,628,km
311,I rode my bike for 205 km.,Bike,205,km
312,I travelled 222 km by bus.,Bus,222,km
313,I had a chicken meal today.,Chicken Meal,1,meal
314,I ate chicken for lunch.,Chicken Meal,1,meal
315,I drove my car 663 km to the office.,Car,663,km
316,I rode my bike for 764 km.,Bike,764,km
317,I took a train for 552 km today.,Train,552,km
318,I travelled 70 km by train.,Train,70,km
319,I took a train for 115 km today.,Train,115,km
320,I ate a vegetarian meal.,Vegetarian Meal,1,meal
321,I took a train for 404 km today.,Train,404,km
322,I flew 171 km today.,Flight,171,km
323,I used my car for 738 km today.,Car,738,km
324,I drove my car 666 km to the office.,Car,666,km
325,I used my car for 420 km today.,Car,420,km
326,I travelled 506 km by bus.,Bus,506,km
327,I commuted 569 km using the bus.,Bus,569,km
328,I went for a 227 km walk.,Walking,227,km
329,I had a veg lunch today.,Vegetarian Meal,1,meal
330,I flew 824 km today.,Flight,824,km
331,I travelled 538 km by car.,Car,538,km
332,I had a chicken meal today.,Chicken Meal,1,meal
333,I had a veg lunch today.,Vegetarian Meal,1,meal
334,I walked 261 km today.,Walking,261,km
335,I travelled 572 km by car.,Car,572,km
336,I cycled 950 km today.,Bike,950,km
337,I travelled 132 km by bus.,Bus,132,km
338,I walked 85 km today.,Walking,85,km
339,I commuted 872 km using the bus.,Bus,872,km
340,I walked 392 km today.,Walking,392,km
341,I cycled 728 km today.,Bike,728,km
342,I had a chicken meal today.,Chicken Meal,1,meal
343,I had a chicken meal today.,Chicken Meal,1,meal
344,I rode my bike for 707 km.,Bike,707,km
345,I rode my bike for 933 km.,Bike,933,km
346,I flew 848 km today.,Flight,848,km
347,I watched TV for 11 hours.,Electricity,11,hour
348,I ate a vegetarian meal.,Vegetarian Meal,1,meal
349,I travelled 929 km by car.,Car,929,km
350,I travelled 335 km by train.,Train,335,km
351,I cycled 384 km today.,Bike,384,km
352,I walked 919 km today.,Walking,919,km
353,I drove my car 714 km to the office.,Car,714,km
354,I took a flight covering 398 km.,Flight,398,km
355,I had a veg lunch today.,Vegetarian Meal,1,meal
356,I took a bus for 116 km.,Bus,116,km
357,I drove my car 36 km to the office.,Car,36,km
358,I rode my bike for 266 km.,Bike,266,km
359,I ate a vegetarian meal.,Vegetarian Meal,1,meal
360,I cycled 738 km today.,Bike,738,km
361,I drove my car 525 km to the office.,Car,525,km
362,I watched TV for 3 hours.,Electricity,3,hour
363,I travelled 388 km by car.,Car,388,km
364,I travelled 157 km by car.,Car,157,km
365,I ate chicken for lunch.,Chicken Meal,1,meal
366,I used my computer for 6 hours.,Electricity,6,hour
367,I used the air conditioner for 6 hours.,Electricity,6,hour
368,I watched TV for 1 hours.,Electricity,1,hour
369,I took a train for 894 km today.,Train,894,km
370,I walked 599 km today.,Walking,599,km
371,I ate chicken for lunch.,Chicken Meal,1,meal
372,I travelled 62 km by bus.,Bus,62,km
373,I went for a 183 km walk.,Walking,183,km
374,I went for a 29 km walk.,Walking,29,km
375,I had a veg lunch today.,Vegetarian Meal,1,meal
376,I cycled 376 km today.,Bike,376,km
377,I had a chicken meal today.,Chicken Meal,1,meal
378,I walked 170 km today.,Walking,170,km
379,I flew 120 km today.,Flight,120,km
380,I used my car for 765 km today.,Car,765,km
381,I travelled 581 km by train.,Train,581,km
382,I ate a vegetarian meal.,Vegetarian Meal,1,meal
383,I walked 882 km today.,Walking,882,km
384,I used my computer for 10 hours.,Electricity,10,hour
385,I drove my car 51 km to the office.,Car,51,km
386,I walked 237 km today.,Walking,237,km
387,I commuted 880 km using the bus.,Bus,880,km
388,I used my computer for 3 hours.,Electricity,3,hour
389,I walked 257 km today.,Walking,257,km
390,I drove my car 998 km to the office.,Car,998,km
391,I took a flight covering 164 km.,Flight,164,km
392,I rode my bike for 529 km.,Bike,529,km
393,I went for a 678 km walk.,Walking,678,km
394,I had a chicken meal today.,Chicken Meal,1,meal
395,I travelled 247 km by bus.,Bus,247,km
396,I ate a vegetarian meal.,Vegetarian Meal,1,meal
397,I flew 74 km today.,Flight,74,km
398,I used my car for 452 km today.,Car,452,km
399,I ate chicken for lunch.,Chicken Meal,1,meal
400,I rode my bike for 197 km.,Bike,197,km
401,I had a veg lunch today.,Vegetarian Meal,1,meal
402,I commuted 992 km using the bus.,Bus,992,km
403,I took a train for 186 km today.,Train,186,km
404,I ate a vegetarian meal.,Vegetarian Meal,1,meal
405,I used my computer for 6 hours.,Electricity,6,hour
406,I rode my bike for 957 km.,Bike,957,km
407,I went for a 798 km walk.,Walking,798,km
408,I went for a 199 km walk.,Walking,199,km
409,I went for a 632 km walk.,Walking,632,km
410,I rode my bike for 624 km.,Bike,624,km
411,I took a train for 637 km today.,Train,637,km
412,I had a veg lunch today.,Vegetarian Meal,1,meal
413,I drove my car 768 km to the office.,Car,768,km
414,I watched TV for 7 hours.,Electricity,7,hour
415,I used the air conditioner for 9 hours.,Electricity,9,hour
416,I travelled 785 km by train.,Train,785,km
417,I rode my bike for 431 km.,Bike,431,km
418,I flew 780 km today.,Flight,780,km
419,I ate a vegetarian meal.,Vegetarian Meal,1,meal
420,I had a veg lunch today.,Vegetarian Meal,1,meal
421,I walked 817 km today.,Walking,817,km
422,I rode my bike for 238 km.,Bike,238,km
423,I ate a vegetarian meal.,Vegetarian Meal,1,meal
424,I went for a 828 km walk.,Walking,828,km
425,I took a flight covering 507 km.,Flight,507,km
426,I used my computer for 11 hours.,Electricity,11,hour
427,I used my computer for 2 hours.,Electricity,2,hour
428,I took a bus for 417 km.,Bus,417,km
429,I rode my bike for 12 km.,Bike,12,km
430,I had a veg lunch today.,Vegetarian Meal,1,meal
431,I had a chicken meal today.,Chicken Meal,1,meal
432,I used the air conditioner for 2 hours.,Electricity,2,hour
433,I walked 159 km today.,Walking,159,km
434,I went for a 147 km walk.,Walking,147,km
435,I used my computer for 2 hours.,Electricity,2,hour
436,I walked 478 km today.,Walking,478,km
437,I travelled 73 km by train.,Train,73,km
438,I ate a vegetarian meal.,Vegetarian Meal,1,meal
439,I took a flight covering 384 km.,Flight,384,km
440,I had a veg lunch today.,Vegetarian Meal,1,meal
441,I had a chicken meal today.,Chicken Meal,1,meal
442,I had a veg lunch today.,Vegetarian Meal,1,meal
443,I ate chicken for lunch.,Chicken Meal,1,meal
444,I had a veg lunch today.,Vegetarian Meal,1,meal
445,I used the air conditioner for 1 hours.,Electricity,1,hour
446,I used the air conditioner for 8 hours.,Electricity,8,hour
447,I commuted 639 km using the bus.,Bus,639,km
448,I went for a 537 km walk.,Walking,537,km
449,I rode my bike for 375 km.,Bike,375,km
450,I rode my bike for 236 km.,Bike,236,km
451,I used my computer for 12 hours.,Electricity,12,hour
452,I took a train for 293 km today.,Train,293,km
453,I rode my bike for 282 km.,Bike,282,km
454,I took a flight covering 83 km.,Flight,83,km
455,I drove my car 80 km to the office.,Car,80,km
456,I went for a 972 km walk.,Walking,972,km
457,I watched TV for 4 hours.,Electricity,4,hour
458,I went for a 149 km walk.,Walking,149,km
459,I had a chicken meal today.,Chicken Meal,1,meal
460,I took a train for 104 km today.,Train,104,km
461,I ate a vegetarian meal.,Vegetarian Meal,1,meal
462,I took a bus for 395 km.,Bus,395,km
463,I ate a vegetarian meal.,Vegetarian Meal,1,meal
464,I ate a vegetarian meal.,Vegetarian Meal,1,meal
465,I went for a 326 km walk.,Walking,326,km
466,I cycled 166 km today.,Bike,166,km
467,I took a train for 751 km today.,Train,751,km
468,I took a flight covering 227 km.,Flight,227,km
469,I ate a vegetarian meal.,Vegetarian Meal,1,meal
470,I took a bus for 641 km.,Bus,641,km
471,I took a bus for 478 km.,Bus,478,km
472,I travelled 864 km by train.,Train,864,km
473,I cycled 482 km today.,Bike,482,km
474,I used my car for 195 km today.,Car,195,km
475,I had a chicken meal today.,Chicken Meal,1,meal
476,I travelled 55 km by train.,Train,55,km
477,I watched TV for 6 hours.,Electricity,6,hour
478,I flew 948 km today.,Flight,948,km
479,I watched TV for 8 hours.,Electricity,8,hour
480,I had a veg lunch today.,Vegetarian Meal,1,meal
481,I had a chicken meal today.,Chicken Meal,1,meal
482,I travelled 181 km by train.,Train,181,km
483,I travelled 733 km by car.,Car,733,km
484,I commuted 695 km using the bus.,Bus,695,km
485,I took a bus for 859 km.,Bus,859,km
486,I commuted 689 km using the bus.,Bus,689,km
487,I ate a vegetarian meal.,Vegetarian Meal,1,meal
488,I travelled 170 km by car.,Car,170,km
489,I went for a 475 km walk.,Walking,475,km
490,I travelled 408 km by car.,Car,408,km
491,I took a bus for 430 km.,Bus,430,km
492,I travelled 233 km by train.,Train,233,km
493,I flew 224 km today.,Flight,224,km
494,I drove my car 42 km to the office.,Car,42,km
495,I walked 211 km today.,Walking,211,km
496,I took a flight covering 278 km.,Flight,278,km
497,I cycled 529 km today.,Bike,529,km
498,I had a veg lunch today.,Vegetarian Meal,1,meal
499,I went for a 928 km walk.,Walking,928,km
500,I travelled 312 km by bus.,Bus,312,km
501,I cycled 596 km today.,Bike,596,km
502,I took a flight covering 855 km.,Flight,855,km
503,I travelled 35 km by car.,Car,35,km
504,I watched TV for 2 hours.,Electricity,2,hour
505,I rode my bike for 376 km.,Bike,376,km
506,I ate a vegetarian meal.,Vegetarian Meal,1,meal
507,I walked 632 km today.,Walking,632,km
508,I rode my bike for 440 km.,Bike,440,km
509,I used my car for 451 km today.,Car,451,km
510,I used the air conditioner for 3 hours.,Electricity,3,hour
511,I used my computer for 10 hours.,Electricity,10,hour
512,I rode my bike for 770 km.,Bike,770,km
513,I ate chicken for lunch.,Chicken Meal,1,meal
514,I rode my bike for 638 km.,Bike,638,km
515,I used my car for 645 km today.,Car,645,km
516,I used my car for 948 km today.,Car,948,km
517,I used the air conditioner for 10 hours.,Electricity,10,hour
518,I ate a vegetarian meal.,Vegetarian Meal,1,meal
519,I used the air conditioner for 8 hours.,Electricity,8,hour
520,I ate chicken for lunch.,Chicken Meal,1,meal
521,I travelled 988 km by bus.,Bus,988,km
522,I travelled 51 km by car.,Car,51,km
523,I had a chicken meal today.,Chicken Meal,1,meal
524,I had a chicken meal today.,Chicken Meal,1,meal
525,I ate a vegetarian meal.,Vegetarian Meal,1,meal
526,I went for a 7 km walk.,Walking,7,km
527,I took a flight covering 383 km.,Flight,383,km
528,I drove my car 551 km to the office.,Car,551,km
529,I ate chicken for lunch.,Chicken Meal,1,meal
530,I had a chicken meal today.,Chicken Meal,1,meal
531,I travelled 808 km by car.,Car,808,km
532,I rode my bike for 525 km.,Bike,525,km
533,I had a chicken meal today.,Chicken Meal,1,meal
534,I rode my bike for 466 km.,Bike,466,km
535,I took a flight covering 932 km.,Flight,932,km
536,I had a chicken meal today.,Chicken Meal,1,meal
537,I cycled 758 km today.,Bike,758,km
538,I cycled 723 km today.,Bike,723,km
539,I travelled 700 km by bus.,Bus,700,km
540,I travelled 746 km by train.,Train,746,km
541,I rode my bike for 658 km.,Bike,658,km
542,I used the air conditioner for 12 hours.,Electricity,12,hour
543,I ate a vegetarian meal.,Vegetarian Meal,1,meal
544,I flew 820 km today.,Flight,820,km
545,I took a train for 865 km today.,Train,865,km
546,I had a chicken meal today.,Chicken Meal,1,meal
547,I walked 717 km today.,Walking,717,km
548,I travelled 671 km by train.,Train,671,km
549,I cycled 641 km today.,Bike,641,km
550,I travelled 750 km by car.,Car,750,km
551,I cycled 147 km today.,Bike,147,km
552,I took a flight covering 951 km.,Flight,951,km
553,I took a bus for 443 km.,Bus,443,km
554,I cycled 921 km today.,Bike,921,km
555,I used my car for 187 km today.,Car,187,km
556,I rode my bike for 268 km.,Bike,268,km
557,I used my computer for 6 hours.,Electricity,6,hour
558,I rode my bike for 255 km.,Bike,255,km
559,I flew 284 km today.,Flight,284,km
560,I flew 95 km today.,Flight,95,km
561,I had a veg lunch today.,Vegetarian Meal,1,meal
562,I travelled 523 km by train.,Train,523,km
563,I had a veg lunch today.,Vegetarian Meal,1,meal
564,I travelled 255 km by train.,Train,255,km
565,I travelled 120 km by train.,Train,120,km
566,I took a flight covering 166 km.,Flight,166,km
567,I travelled 108 km by car.,Car,108,km
568,I travelled 588 km by bus.,Bus,588,km
569,I took a bus for 768 km.,Bus,768,km
570,I walked 204 km today.,Walking,204,km
571,I ate chicken for lunch.,Chicken Meal,1,meal
